X,Y,Channel No,Frequency(Hz),Range
21.06,66.59,52,86200,8.027142317204817
61.22,24.83,201,101100,5.066577455519146
72.63,4.73,283,109300,0.8775966640398958
17.98,74.68,229,103900,9.17198444613565
82.19,73.73,260,107000,1.089354104593676
72.13,94.97,168,97800,3.933869348410468
28.4,51.56,127,93700,8.495945598708236
28.05,40.89,93,90300,3.0547633581127522
54.7,70.03,118,92800,8.792893854545843
55.76,87.41,192,100200,5.808115489409103
45.17,92.6,168,97800,6.66765378521902
70.92,16.3,191,100100,1.2015864797322673
77.81,90.86,79,88900,2.437597309295395
12.59,68.61,140,95000,2.0136012911755263
46.25,9.68,177,98700,9.370839867984945
11.04,6.06,160,97000,4.543682228544357
50.7,55.79,273,108300,1.6589379337594157
74.13,58.37,49,85900,6.533623664656315
46.13,92.25,137,94700,6.1275864103669715
84.65,20.05,212,102200,2.7976126811677613
1.79,72.2,186,99600,1.7211924539416434
93.6,0.63,57,86700,9.17029201860833
69.75,99.14,38,84800,4.745604237071186
14.64,24.94,56,86600,7.874177257301972
82.29,58.41,192,100200,0.12259657478005614
73.41,26.46,107,91700,5.159642824967033
97.86,24.38,28,83800,7.478483874446499
42.31,76.09,120,93000,7.826039516651276
93.91,11.69,279,108900,8.892190615851769
95.76,40.96,195,100500,3.141793880695669
60.72,4.98,117,92700,3.356307299472258
54.4,73.63,43,85300,4.80117481136101
85.41,71.53,241,105100,2.405322376704521
47.02,90.7,212,102200,0.3487409245841977
27.4,33.59,88,89800,5.54190347302675
8.95,11.62,106,91600,6.338384384700527
77.7,53.57,178,98800,1.8045351366772866
52.18,93.32,258,106800,1.1478014858321406
62.97,63.76,246,105600,1.4840483501526736
88.53,14.72,121,93100,0.5227599531601734
2.44,54.62,155,96500,6.184840337308132
60.25,35.88,9,81900,2.6665971759084064
50.85,21.02,78,88800,5.36742886506568
34.34,81.26,226,103600,2.013119602464731
63.69,54.02,222,103200,7.587134390028706
46.65,73.76,102,91200,9.125852477410758
2.52,57.27,210,102000,6.900201989902018
39.64,76.97,156,96600,7.760081697079504
57.52,61.95,8,81800,1.5407901456000528
23.67,86.53,240,105000,4.719187652400202
1.96,11.69,203,101300,7.833494496460713
6.16,48.53,259,106900,8.35258265236654
9.3,89.91,8,81800,7.406214545993136
74.83,72.65,224,103400,3.404463799476259
56.98,65.96,60,87000,7.773212916963935
91.86,51.0,71,88100,3.3622816170089855
13.46,43.78,252,106200,3.0904319904949897
54.45,89.48,130,94000,2.8091367356022934
54.78,6.56,286,109600,3.823037792906807
3.62,8.31,263,107300,6.799440940485758
85.38,64.97,265,107500,6.84351919404269
18.17,70.26,107,91700,8.60246346306363
44.02,32.25,249,105900,4.388499320332512
13.42,51.03,233,104300,1.8505093649692306
60.4,69.87,200,101000,4.790979263954923
75.56,74.87,265,107500,5.150294958071283
90.5,69.44,292,110200,6.075545974248685
1.42,0.33,104,91400,2.4367736766973636
99.39,63.15,283,109300,6.6169146764595554
80.87,55.74,242,105200,8.043581885410752
79.04,83.46,137,94700,4.0330298828841915
54.55,92.61,193,100300,2.815088847010255
86.01,25.22,280,109000,3.385117550893849
2.84,45.75,217,102700,4.179608599632992
58.4,98.57,30,84000,0.3170537999425094
74.11,63.61,278,108800,5.4358357590033695
25.16,99.25,228,103800,0.8699658331094362
39.65,99.71,249,105900,5.475363335208312
51.96,64.6,286,109600,1.8961351184294684
70.81,36.38,204,101400,1.5798943695189105
77.42,28.13,281,109100,8.966277680041683
69.99,46.07,296,110600,3.0053401731406435
80.98,33.1,105,91500,9.769660364412523
50.9,82.06,269,107900,8.915564558437474
89.42,16.82,246,105600,2.75704346838081
56.37,30.37,161,97100,9.38146237563978
73.12,30.93,116,92600,3.3381188704163325
21.8,47.82,24,83400,5.048003258875815
4.68,20.42,11,82100,3.640218875299055
41.44,57.34,112,92200,8.530705231655789
53.16,44.18,170,98000,9.642122816539814
70.78,70.91,73,88300,6.377891879278862
64.85,83.34,113,92300,9.550527570569429
3.66,63.03,251,106100,3.6763860618919795
38.37,50.22,31,84100,5.3782273436084775
95.24,23.07,189,99900,7.142683448028481
35.99,80.05,11,82100,1.7594913464010609
63.09,73.71,1,81100,6.29198560180674
85.73,60.92,42,85200,0.7030941534932544
88.05,54.35,298,110800,4.382924449645671
19.8,32.66,256,106600,1.996666327926847
53.37,33.27,226,103600,1.0717444752090866
63.28,64.82,86,89600,7.753542763068934
6.48,30.67,83,89300,0.75778245841568
34.44,5.89,177,98700,7.707333836881052
1.0,5.56,212,102200,4.550183655680508
42.84,81.12,243,105300,3.5385625906107796
78.3,83.99,260,107000,8.628055440721932
74.71,4.67,232,104200,5.146655791216249
77.85,83.54,231,104100,7.9030735539202315
36.45,63.52,59,86900,6.400362384533401
23.4,19.45,193,100300,5.631576196303936
86.51,24.83,122,93200,9.707575393646735
17.9,61.66,205,101500,7.675278694578483
23.66,16.66,20,83000,7.595059881058423
94.7,48.52,237,104700,4.095067910996878
15.1,32.3,66,87600,0.38950238766271794
14.28,53.3,30,84000,1.706290493833561
42.05,13.1,299,110900,4.70962376652206
66.62,42.31,201,101100,4.058144513511806
12.14,71.12,171,98100,0.6370979937467469
37.62,59.8,90,90000,1.3621480453351242
38.21,23.78,60,87000,1.6101964595043217
24.75,24.23,75,88500,2.4292957285084773
11.2,25.73,88,89800,0.9132278462290233
41.72,22.7,175,98500,5.332846796014028
1.41,99.73,55,86500,0.4079432122560045
35.23,46.07,39,84900,8.85033083399579
6.44,87.96,36,84600,9.31742728098322
47.45,15.98,155,96500,4.717215805175005
27.3,68.07,98,90800,4.532090112982889
97.34,16.68,129,93900,2.214900408778515
94.32,3.91,197,100700,5.320984327039504
21.16,59.71,239,104900,3.892639308843555
83.81,30.06,197,100700,8.415823448849732
7.8,77.36,261,107100,0.4683540628722094
63.07,1.43,10,82000,8.26201020861686
88.29,62.04,195,100500,6.754892506359771
76.62,74.21,2,81200,8.529247319785018
90.31,43.24,107,91700,0.3103315820994157
39.7,23.28,64,87400,6.628637005203133
48.45,20.84,263,107300,3.313742479735712
36.39,42.16,271,108100,2.5346002085606214
68.85,54.48,178,98800,2.728130600889529
29.25,16.59,189,99900,6.355743637070429
82.82,41.93,254,106400,7.342866475931959
74.99,10.5,243,105300,8.19246239492761
88.27,6.81,112,92200,4.9080269201569395
6.16,53.86,60,87000,6.370379592178369
70.04,55.33,93,90300,1.808024026048679
83.17,76.12,196,100600,1.31368400308424
10.65,55.27,100,91000,9.003371179152595
42.41,85.94,286,109600,7.443318568835778
51.44,36.32,102,91200,5.135309640266596
66.68,58.17,170,98000,2.5302951476602242
40.94,10.41,273,108300,3.4824215453289318
82.28,52.47,282,109200,6.038945334843092
11.74,62.85,180,99000,8.031708507167366
43.3,54.5,72,88200,5.949663849950029
60.48,71.07,155,96500,3.335515329002253
98.45,0.02,81,89100,8.302937438473634
66.2,65.93,135,94500,7.533062498545268
47.98,15.4,133,94300,8.859689730870542
71.78,62.88,193,100300,1.2903225291268416
89.26,83.38,149,95900,0.5869742815464574
70.24,54.78,170,98000,2.229948101571999
18.34,22.55,168,97800,0.5688331908138788
83.23,76.61,118,92800,3.3655635079860735
1.74,50.45,255,106500,1.9819715986028785
92.53,23.19,5,81500,0.20985796012549907
57.82,86.17,133,94300,0.1932981445612536
87.08,25.55,100,91000,8.587715895416967
90.44,36.05,180,99000,1.2161000258582233
17.61,68.92,12,82200,9.154465294381476
98.75,98.1,231,104100,7.744700662882826
9.4,65.97,107,91700,4.5018734966197
46.59,15.05,169,97900,4.971119623518137
68.96,82.55,151,96100,6.243647652333042
12.57,3.84,86,89600,0.22507055171941737
35.37,49.94,6,81600,7.2270656836958675
57.44,90.25,119,92900,7.180320219065258
