X,Y,Channel No,Frequency(Hz),Range
74.54,2.72,103,91300,2.261122994318109
20.49,30.25,16,82600,8.402016251243046
54.53,92.36,26,83600,1.6547148000922585
3.84,66.24,76,88600,0.2043436274341881
55.3,17.19,8,81800,0.7764100808952534
15.59,68.96,242,105200,4.770236791589753
21.13,7.7,161,97100,0.9962142471791369
13.06,34.24,166,97600,6.403445558853729
38.69,36.98,57,86700,3.0875534584629802
94.52,53.26,248,105800,7.847428887378774
45.18,86.98,288,109800,3.041094960732038
68.76,60.14,213,102300,6.362341203070675
27.4,65.08,43,85300,3.0734162379702745
3.52,12.03,181,99100,5.015081286977256
89.32,5.21,249,105900,3.8826614287127037
59.03,41.75,59,86900,3.1196091573224716
80.82,88.33,45,85500,5.812236833477902
55.99,13.57,80,89000,7.549512553647703
74.68,21.17,27,83700,2.9880693699296144
96.91,55.19,29,83900,4.522943563790261
50.52,19.36,190,100000,9.767191801495663
58.94,35.68,34,84400,2.019481420361595
94.63,51.15,41,85100,9.703999144670027
2.56,8.01,144,95400,7.723312574189202
52.88,11.52,208,101800,5.590160841253945
95.47,37.76,232,104200,9.197767119648066
80.04,12.71,173,98300,4.495918863768877
33.87,94.47,235,104500,8.689342245324216
13.71,97.17,253,106300,3.8316011256712446
54.39,91.6,118,92800,7.747771103726037
63.2,1.36,106,91600,5.6121642829279095
69.02,22.15,137,94700,8.851608692664989
44.68,24.84,228,103800,3.8541938643686704
22.84,52.4,28,83800,5.971571641682717
12.86,88.22,91,90100,9.530069560301529
69.49,4.11,183,99300,0.9181592352596879
36.11,95.45,54,86400,4.07020470274316
83.12,76.74,148,95800,1.2437674994278847
37.4,51.3,261,107100,4.019906882670105
77.11,35.6,21,83100,1.146722349695617
76.23,23.23,107,91700,9.25724878275574
79.56,19.16,208,101800,3.4058239714958773
78.65,78.46,209,101900,5.953401642418472
23.61,99.58,278,108800,5.915709642570662
31.3,71.45,95,90500,4.154432722526996
46.58,63.86,62,87200,5.358533562352842
43.46,4.96,79,88900,2.0871130763496257
56.13,70.14,149,95900,6.305253746516195
46.66,38.67,45,85500,3.800602937658063
13.86,73.38,37,84700,1.3655922731753867
45.28,73.33,267,107700,9.966976765652642
7.34,7.95,88,89800,5.581161958047409
53.32,95.54,139,94900,0.14869332380402223
29.76,60.62,252,106200,1.169180423853362
53.2,28.58,13,82300,7.828830906896357
63.59,66.91,56,86600,0.9688132557116358
89.84,97.89,297,110700,1.3749398177658079
68.8,16.14,299,110900,5.918833616965536
70.47,86.67,256,106600,6.910753457671018
9.61,56.14,52,86200,2.9106614772427286
74.38,26.24,16,82600,4.998984950914407
14.47,47.14,230,104000,0.12777158487091267
89.93,38.98,89,89900,6.946564009711652
53.31,26.42,179,98900,2.120149117208393
86.58,27.26,224,103400,8.440670351089704
33.2,9.9,195,100500,2.39625035319614
98.58,80.85,195,100500,5.775849035618837
59.2,75.26,179,98900,7.176479216550683
44.1,57.55,78,88800,0.9615709412417184
80.51,42.21,127,93700,6.479392711034295
28.48,76.87,143,95300,6.984393566884492
43.85,89.68,196,100600,3.148830595957033
83.53,55.03,264,107400,9.074101260116095
5.54,27.59,48,85800,3.427338466497505
76.4,1.08,280,109000,5.279912565196341
12.1,70.92,46,85600,4.795244815984515
80.51,88.53,75,88500,3.448279572930674
44.68,47.81,150,96000,4.988450114721008
39.32,14.71,37,84700,7.911492405583786
37.29,10.19,109,91900,6.250549807364565
68.71,60.76,274,108400,9.106009034346442
20.65,5.3,180,99000,8.24170047615205
38.17,69.51,251,106100,1.857170442369137
14.27,9.53,59,86900,2.7993320922629703
42.61,65.17,32,84200,2.2649943295491806
87.71,22.34,290,110000,1.5122573210312673
26.95,49.5,198,100800,0.7325924676252504
38.5,67.08,56,86600,9.324103665649021
53.63,22.08,244,105400,6.579184817099342
89.34,48.37,206,101600,2.0246731339445336
9.7,89.07,17,82700,2.4147069609241223
89.85,70.69,217,102700,4.325454171149791
34.59,44.45,58,86800,8.719892917170855
19.11,32.25,216,102600,6.46097466530679
12.29,30.26,294,110400,8.227969447661645
24.71,69.22,1,81100,8.030119235681017
12.11,8.66,91,90100,8.251510176288063
0.97,41.1,279,108900,6.616343900971991
81.62,7.15,204,101400,7.2065436074404134
4.66,15.52,110,92000,8.034533956929176
91.73,30.77,97,90700,9.578001355210978
29.87,32.23,169,97900,3.6829652679517055
9.26,70.28,275,108500,4.424506646558685
15.53,0.31,180,99000,6.175585061071864
25.7,73.52,201,101100,4.37112927956914
38.77,9.96,126,93600,6.343011595675886
1.85,88.92,263,107300,0.6770771372072759
55.15,21.05,94,90400,5.876911710839352
97.87,34.6,102,91200,1.3386238371604775
83.04,23.89,222,103200,9.814626746252234
45.59,94.15,205,101500,1.8994001237718505
93.34,55.02,66,87600,0.08824973741621833
85.79,91.49,259,106900,6.4502769220343295
58.22,90.24,273,108300,5.270155881331888
37.06,50.55,251,106100,0.6254429293732877

