X,Y,Channel No,Frequency(Hz),Range
25.3,20.74,12,93000,3.749473105560167
34.65,38.27,null,null,1.7372449893089237
58.31,57.77,null,null,1.0648170279952551
40.12,38.06,null,null,1.135602989750616
30.64,50.39,null,null,1.8976592567313544
69.41,73.85,null,null,7.195216882949344
53.29,31.54,null,null,2.3383203584170853
96.91,66.67,null,null,5.480137187412991
50.55,41.51,null,null,2.0767277313294894
92.55,40.79,null,null,3.7678857378170685
50.67,79.22,null,null,1.5336435725688369
0.06,93.07,null,null,4.018988742196176
7.46,45.38,null,null,1.504897135089861
39.13,89.73,null,null,2.438331089303266
75.21,28.3,null,null,5.951442245019076
1.86,16.62,null,null,9.100335121774755
12.13,21.68,null,null,5.811754342718376
93.52,36.21,null,null,3.045115561171714
19.3,4.97,null,null,1.408552184174351
75.56,85.12,null,null,7.187560540233609
31.27,61.76,null,null,9.741349547514968
5.02,79.98,null,null,4.903604734759081
62.02,59.18,null,null,9.92843045154595
28.38,85.74,null,null,0.7619356188485726
76.13,62.36,null,null,9.67124723371718
80.48,41.07,null,null,6.955417794583032
98.25,12.0,null,null,9.902005571182507
59.14,27.98,null,null,3.861248753034717
96.52,49.95,null,null,5.938565563796016
95.22,19.42,null,null,3.5351810780302886
75.18,38.39,null,null,6.363281832092278
13.87,37.79,null,null,3.442192371037173
90.26,81.27,null,null,5.473793335848079
88.06,9.57,null,null,0.36915092166725616
58.32,23.11,null,null,9.190064367084576
18.04,7.13,null,null,1.1859495347947324
62.69,70.38,null,null,5.565446147653982
31.57,27.23,null,null,4.258153409100592
74.48,52.7,null,null,0.01868179793705016
88.87,67.81,null,null,8.110568882315208
96.06,17.64,null,null,7.71338503083424
93.56,29.14,12,93000,9.047692548000661
3.78,31.52,null,null,4.452603573851172
56.2,84.13,null,null,7.410353826480395
13.56,40.89,null,null,6.475889025189162
30.75,33.09,null,null,9.950955267009151
18.12,34.56,null,null,4.7483615183757415
45.54,83.15,null,null,9.311633403086272
47.77,34.46,null,null,1.9753373699340993
80.76,69.56,null,null,8.065842984800593
88.25,35.12,null,null,9.578201907321409
1.66,66.9,null,null,5.415924667923234
48.2,6.19,null,null,6.299621367460878
43.31,21.78,null,null,7.015043193270404
6.84,70.08,null,null,1.697410113228246
56.45,75.6,null,null,8.995634267358954
87.87,67.91,null,null,3.4211764869349146
66.7,35.64,null,null,4.038549720954702
99.65,30.67,null,null,1.3852662588227915
69.31,96.06,null,null,2.014087497806644
53.5,79.82,null,null,9.45278359104703
80.63,6.36,null,null,8.5809286239103
22.24,91.79,null,null,3.382102505227601
93.82,34.41,null,null,9.260819657864678
29.21,74.11,null,null,5.069060217599921
41.28,73.32,null,null,2.441015887011867
64.35,17.56,null,null,7.710954418544805
49.06,97.26,null,null,4.924693984023132
8.44,8.21,null,null,4.744826574602884
79.74,79.83,null,null,6.8896283753523555
9.25,6.11,16,97000,0.25080691600275706
99.13,50.46,null,null,7.1715627327492335
93.84,23.11,null,null,8.096292869685872
69.79,79.4,null,null,3.8112549579314714
20.43,61.5,null,null,7.2194579023375915
69.42,49.58,null,null,1.8498223483167753
69.95,7.06,null,null,7.0582858187843245
56.01,95.27,null,null,9.888589507571567
52.68,5.6,null,null,8.8275336424358
53.09,61.32,8,89000,7.316353084722679
58.4,90.15,null,null,8.890496869958813
8.3,64.67,null,null,5.124154127652196
10.09,67.88,null,null,1.2812073569063642
86.38,19.87,null,null,8.556979272541433
90.4,20.0,null,null,9.077992388863398
93.77,24.59,7,88000,9.581156306115984
97.98,15.98,null,null,3.0396887245778648
96.06,87.44,null,null,0.2697220973162484
56.25,94.18,null,null,0.07600613805131773
81.99,20.65,null,null,5.126109123817689
41.22,14.94,null,null,0.7745645457413308
47.82,13.14,null,null,5.385761209549153
16.76,49.49,null,null,1.5462857320232748
24.79,45.7,null,null,2.1686392642333665
66.1,27.98,14,95000,2.8315927262938234
48.81,9.24,null,null,7.622158475265196
86.15,33.69,null,null,5.242039070711641
76.31,39.8,11,92000,4.919293119237684
68.06,96.72,null,null,3.1615594419461024
83.17,89.03,null,null,4.092041452637995

