X,Y,Channel No,Frequency(Hz),Range
21.56,528.93,16,97000,0.3689321573245866
34.97,315.82,3,84000,0.8410330129091392
743.1,511.67,16,97000,0.8887268279546136
466.41,336.71,9,90000,0.662577378920238
197.57,89.38,5,86000,0.49039325660413213
141.42,10.56,3,84000,0.6596516387839683
60.87,928.56,9,90000,0.15168618482164875
649.33,444.29,2,83000,0.6837414070528622
519.31,999.53,13,94000,0.9438008061944004
692.45,123.75,25,106000,0.7597148390621943
994.91,252.25,26,107000,0.1794877282525189
318.44,664.44,20,101000,0.6931836009150747
879.86,612.09,9,90000,0.5204244454840458
994.92,539.3,8,89000,0.6899879579272815
337.51,276.27,5,86000,0.7386828842601668
557.16,194.34,15,96000,0.23564865399647894
618.86,909.29,14,95000,0.1339603856622369
466.38,221.54,16,97000,0.1780367538202675
16.48,485.8,4,85000,0.8702080806096224
5.08,548.49,4,85000,0.0977820259287211
531.75,209.28,25,106000,0.978997941578553
5.31,925.69,5,86000,0.13123579199319169
566.8,147.56,13,94000,0.7646448502240114
456.78,344.65,22,103000,0.5639150570029471
468.97,968.65,2,83000,0.3855930696841565
874.14,404.06,30,111000,0.7626941129786005
553.63,435.41,28,109000,0.5413659111419857
615.93,56.17,7,88000,0.5276171480381766
310.19,122.72,6,87000,0.29356329622644073
442.66,611.75,17,98000,0.27474551631132627
856.54,158.11,10,91000,0.9377009707306733
477.43,359.66,25,106000,0.8062138181376404
348.73,654.81,24,105000,0.6304702025834814
389.51,665.87,9,90000,0.8695653713106121
975.48,905.53,1,82000,0.7902330260177567
60.17,956.68,25,106000,0.4830079722489906
371.45,336.06,11,92000,0.518856831071195
209.35,562.17,25,106000,0.7246397374509551
768.27,679.8,10,91000,0.8475624220523017
463.09,998.73,9,90000,0.610731100144114
969.06,827.04,1,82000,0.1611594897523977
123.54,902.89,10,91000,0.9702267739989231
280.09,327.87,7,88000,0.8923520500492512
467.23,494.06,13,94000,0.149790002647039
862.18,582.71,21,102000,0.45481472528711464
741.66,139.87,21,102000,0.6366142120137247
574.89,341.67,1,82000,0.37019435153666536
156.36,325.46,19,100000,0.58616389373383
278.2,252.04,27,108000,0.8754333841409109
71.93,86.74,29,110000,8.912137920942254E-4
729.02,842.54,13,94000,0.7238167404127633
278.89,757.85,15,96000,0.2763455836459999
664.23,513.77,11,92000,0.9325161697276823
727.83,704.12,12,93000,0.7561163033309387
397.16,816.12,27,108000,0.4133688522022808
323.72,564.59,17,98000,0.20050953424762252
271.04,539.58,30,111000,0.5500357076544169
428.8,411.75,5,86000,0.9501778538897456
610.76,914.26,21,102000,0.16701178480894796
532.69,151.37,7,88000,0.4701289829229707
393.51,526.26,9,90000,0.05331236983197307
142.55,431.41,13,94000,0.6973071532476035
719.1,390.22,1,82000,0.35075559674539014
322.23,306.68,25,106000,0.632552714251609
302.38,988.17,13,94000,0.05396232841121662
466.78,914.62,18,99000,0.2521183454236301
633.13,983.74,29,110000,0.4724683418053952
836.91,457.68,29,110000,0.5425921017204749
152.72,751.39,22,103000,0.4162979279082373
97.77,858.93,2,83000,0.15421367539493613
782.32,822.18,19,100000,0.7422062788043438
607.6,560.38,22,103000,0.32995676622753134
404.12,841.01,22,103000,0.6614122400772394
483.66,66.76,4,85000,0.8008062618890661
444.54,654.29,24,105000,0.29949140601437163
536.76,3.16,8,89000,0.7814177300985237
537.91,703.02,17,98000,0.6192807368077259
10.0,650.71,13,94000,0.9854769420143253
359.26,982.98,13,94000,0.18788919186616782
683.68,152.33,11,92000,0.2778649799638445
106.34,452.0,4,85000,0.8745652740112403
315.28,839.21,17,98000,0.6530958252634649
784.16,913.46,30,111000,0.4082156954316021
572.14,418.81,27,108000,0.2789657187249198
399.1,86.31,11,92000,0.568406550529445
583.97,86.42,19,100000,0.36410282486528533
405.28,783.18,17,98000,0.4139301756172573
993.38,974.78,22,103000,0.23191866175231135
262.24,861.94,7,88000,0.4163428127894735
914.96,740.31,28,109000,0.7357561512855858
760.99,889.98,6,87000,0.22574559969668362
526.74,499.14,25,106000,0.6958390816450161
854.61,266.51,1,82000,0.3815948480566477
112.72,772.82,12,93000,0.43362133562051886
89.73,884.84,2,83000,0.9372159844514942
250.97,580.83,11,92000,0.41959764784235754
377.06,284.91,7,88000,0.30330757938091757
499.26,325.97,13,94000,0.12348736430373619
761.89,645.7,24,105000,0.7590362963829385
368.52,658.74,30,111000,0.0884759306103381
59.48,897.84,3,84000,0.9209417163814932
594.08,77.89,10,91000,0.1620611148765001
705.87,698.62,5,86000,0.9070168667312746
715.77,627.3,3,84000,0.4637900910166556
940.89,4.77,30,111000,0.1588588630914739
760.18,682.62,5,86000,0.704204712309002
488.45,502.84,30,111000,0.5771714474174271
381.64,486.51,8,89000,0.679673428392838
227.7,212.65,5,86000,0.23924643607390816
163.54,787.59,16,97000,0.33514485208101985
959.74,166.06,23,104000,0.9710837464130709
907.31,665.36,15,96000,0.5324974041035427
265.34,181.84,23,104000,0.1768793981092429
643.75,382.78,3,84000,0.29799711451811084
622.77,406.32,17,98000,0.8356944411778968
789.78,897.59,3,84000,0.7009502204577331
408.34,470.63,4,85000,0.4758177412202389
343.58,485.27,23,104000,0.8801123015729387
137.9,826.98,17,98000,0.2638772501184331
261.8,778.66,29,110000,0.9685805757927161
324.13,69.72,5,86000,0.39599020361523873
195.01,413.34,11,92000,0.5461660858575019
622.22,821.18,21,102000,0.5656488233353864
570.88,382.82,4,85000,0.6856535100699549
515.61,68.22,17,98000,0.9867162061197315
609.38,153.78,23,104000,0.9615769229047533
654.09,672.05,22,103000,0.8645839787126303
230.11,569.25,7,88000,0.9034545248807698
97.67,142.29,30,111000,0.19456951933525746
969.46,576.48,13,94000,0.1367517314835225
143.01,665.32,9,90000,0.6999846510212623
963.27,856.03,5,86000,0.8417168711287124
112.88,808.18,26,107000,0.74458887212546
770.89,500.18,22,103000,0.5408225349717378
474.83,280.51,15,96000,0.32257678218410113
317.09,991.1,19,100000,0.6086361644206371
921.42,630.8,15,96000,0.16669213804668093
510.84,863.19,27,108000,0.1829515545246495
592.73,777.25,28,109000,0.5599867784658574
163.18,598.82,3,84000,0.3829754033894506
450.48,829.32,28,109000,0.29325239565438455
671.38,503.15,27,108000,0.33994606427233043
923.83,743.06,21,102000,0.09797508508742736
562.31,531.28,17,98000,0.589052894055564
338.23,971.25,2,83000,0.7891455147850904
395.36,299.54,11,92000,0.8208387478289163
311.78,419.05,12,93000,0.7743812945974259
713.73,803.11,28,109000,0.9479440486962271
257.52,696.34,7,88000,0.792181031918838
702.35,683.04,28,109000,0.4022528289775903
365.43,869.89,21,102000,0.014961626462223432
962.19,238.78,28,109000,0.6720176166947716
954.57,661.75,18,99000,0.5396786487906661
342.34,765.52,7,88000,0.34278600347508403
883.7,314.51,17,98000,0.8537764560247124
85.25,211.29,5,86000,0.48496573993901104
787.58,149.88,13,94000,0.9360555938430899
634.87,594.58,4,85000,0.6903104614861372
266.86,183.89,28,109000,0.07551166894124006
333.61,101.06,27,108000,0.5957763049074394
800.7,30.21,8,89000,0.3766401849944748
891.22,286.61,22,103000,0.43300111594996704
74.39,722.39,10,91000,0.8930944923540419
947.07,354.08,22,103000,0.23263522371067125
618.27,16.71,28,109000,0.7845297528713504
267.3,42.22,22,103000,0.41306773977904565
139.44,198.99,5,86000,0.2311911974222668
118.82,268.12,27,108000,0.8515348911949998
694.65,412.05,7,88000,0.7401619173491353
144.99,297.94,8,89000,0.32158068842193444
900.29,44.86,16,97000,0.12465008337184347
630.66,885.94,16,97000,0.6744051911252532
704.74,780.09,7,88000,0.7873698285814453
389.44,518.16,28,109000,0.0234446910214271
858.67,483.67,15,96000,0.960680139665389
631.83,624.39,2,83000,0.7828710232306393
110.25,238.14,25,106000,0.4850440141440925
80.09,381.15,5,86000,0.9234880913531256
325.4,471.05,5,86000,0.2945323544300944
284.19,518.29,18,99000,0.5962807142345049
187.11,310.22,21,102000,0.5401243816564587
563.08,363.05,18,99000,0.07780012596646169
863.24,9.61,8,89000,0.7506768833210256
246.19,208.12,27,108000,0.19643774879863585
48.91,532.88,7,88000,0.4054980358512835
922.6,973.89,7,88000,0.27886209463911205
87.28,155.85,20,101000,0.0849461821150147
218.56,50.22,16,97000,0.6265082574258019
451.75,254.93,2,83000,0.05547985398612343
218.96,149.29,15,96000,0.39868276644293765
732.95,285.53,26,107000,0.8278405464333944
24.15,978.58,6,87000,0.987864574664885
415.44,322.44,25,106000,0.2619042221036171
90.93,552.0,3,84000,0.8610622256609951
151.86,433.74,3,84000,0.05516926165572866
944.73,997.01,21,102000,0.8861656412180423
946.49,590.5,11,92000,0.5854584586915459
570.11,787.02,21,102000,0.23227245975818767
645.51,776.16,9,90000,0.7394269406487091
287.27,430.75,12,93000,0.5367627480444036
397.69,453.12,5,86000,0.46973908109914675
204.87,784.28,13,94000,0.5688572073834464
297.24,567.91,10,91000,0.8237811975398005
402.53,316.19,6,87000,0.6295591458822757
249.77,832.6,14,95000,0.2796146905049166
841.63,852.78,13,94000,0.34191739642831864
212.28,106.37,13,94000,0.6302747065244922
628.41,557.83,10,91000,0.8747407636907096
350.11,319.93,4,85000,0.8608298101874255
661.07,160.02,13,94000,0.46916275985167943
326.38,534.42,1,82000,0.4648206590104268
880.88,731.3,6,87000,0.0033339460391196285
893.66,407.44,13,94000,0.2143864879344387
316.89,640.8,6,87000,0.22917405603562502
192.9,550.45,23,104000,0.3137977911373079
865.1,661.28,15,96000,0.8803362970723554
681.3,5.28,4,85000,0.17709134996292075
274.92,589.07,14,95000,0.606734918055183
408.67,341.6,7,88000,0.3405272418918053
129.34,153.35,4,85000,0.30320416051727894
440.78,683.03,19,100000,0.578757544305996
700.05,436.96,14,95000,0.9237555070524369
588.79,306.57,24,105000,0.48464051641730277
434.4,508.58,28,109000,0.004771006245766429
245.31,327.85,9,90000,0.20690293589810616
488.8,474.67,2,83000,0.447225201665268
50.4,384.53,10,91000,0.8433238474494633
161.17,699.84,21,102000,0.3572088054827668
315.14,160.63,28,109000,0.05138683636469543
295.08,515.39,29,110000,0.03379488228884164
615.67,56.36,29,110000,0.6706514754620794
729.05,338.64,8,89000,0.28243420172398925
737.01,301.55,29,110000,0.7242797635765936
646.82,758.87,24,105000,0.7700037970648411
194.18,334.79,9,90000,0.7696961377756781
247.73,811.52,23,104000,0.9144000021783685
886.93,326.34,17,98000,0.6543617408679367
501.18,357.77,7,88000,0.9978299761784953
54.82,309.7,30,111000,0.7718325574123597
875.16,214.83,1,82000,0.6300019089068846
591.22,504.78,25,106000,0.6409965496025362
835.88,440.62,23,104000,0.07715715423268033
947.25,65.2,3,84000,0.29862522858406104
604.27,966.79,17,98000,0.1678692429952089
311.1,662.84,28,109000,0.6187309047106898
124.51,595.22,24,105000,0.7299153012722257
483.39,34.6,14,95000,0.28391934559253984
451.15,225.75,10,91000,0.6880973000206302
885.89,859.69,22,103000,0.03181879051117886
793.18,66.54,9,90000,0.8350660024384335
438.67,109.92,15,96000,0.7972296946156994
267.21,493.69,10,91000,0.791018655811831
620.01,321.31,13,94000,0.046973127255925284
6.46,172.89,25,106000,0.09926772151699426
883.57,72.28,1,82000,0.5542489734317579
648.25,33.54,28,109000,0.7093990275826476
749.04,321.69,4,85000,0.9429983154922729
380.1,694.33,6,87000,0.11497035867396976
305.41,159.5,29,110000,0.9262736222356335
662.74,979.65,13,94000,0.11598292876161542
569.8,953.48,7,88000,0.4075585917742326
468.22,237.22,3,84000,0.9358522753614026
130.6,837.41,28,109000,0.6675720479470264
372.32,269.94,25,106000,0.2471033692845931
769.76,979.08,24,105000,0.144189255626199
122.59,828.82,12,93000,0.44892746572207864
307.44,91.24,14,95000,0.7681962107273567
366.87,778.84,4,85000,0.3331083510762095
