X,Y,Channel No,Frequency(Hz),Range
685.65,904.91,13,94000,0.8549624049429888
733.6,185.04,9,90000,0.10259252786390649
166.06,652.17,17,98000,0.5452215010522601
787.67,342.19,26,107000,0.6532116173839085
530.24,345.88,12,93000,0.5587534537956939
180.45,922.13,18,99000,0.13195781313099453
606.18,438.35,10,91000,0.7964236526765972
379.66,232.56,29,110000,0.835387346002033
986.75,34.42,10,91000,0.4416065877505515
264.81,706.57,7,88000,0.8184261480779688
138.22,689.07,12,93000,0.1735683821956604
702.16,952.67,10,91000,0.4080990270086692
834.5,438.82,1,82000,0.4648701470280209
654.02,721.51,12,93000,0.7272573165024879
666.54,946.7,26,107000,0.36840598870181873
490.08,356.73,16,97000,0.6874403880666181
783.29,898.67,30,111000,0.8896333381346452
841.51,446.82,14,95000,0.6140199664516016
209.3,80.05,22,103000,0.23639682711838506
292.27,75.37,14,95000,0.25122235148553274
53.65,881.23,19,100000,0.7872116750871303
437.96,279.28,16,97000,0.555790772728928
675.94,334.98,23,104000,0.6293139402928384
358.78,67.28,16,97000,0.512852684880684
407.26,171.02,21,102000,0.6161770151842314
350.99,625.97,2,83000,0.42353299424357815
737.53,788.91,18,99000,0.47214011721222704
840.71,145.89,6,87000,0.33916982376266236
975.37,496.41,3,84000,0.936519136914699
763.84,37.22,3,84000,0.8104318504994343
262.6,838.04,8,89000,0.9639280721620018
337.74,172.81,21,102000,0.030620095554928173
482.71,347.3,25,106000,0.7700028662079864
73.11,195.71,12,93000,0.07100174913745783
41.1,596.32,14,95000,0.9863949371537348
78.53,859.03,24,105000,0.9128330070843955
714.68,987.53,1,82000,0.33551081980336817
195.62,827.8,9,90000,0.6970705582099331
769.23,334.97,22,103000,0.2893730386955813
269.18,365.67,17,98000,0.25056221514875543
325.41,916.26,24,105000,0.8891387636777309
904.72,853.9,6,87000,0.8592845710518381
517.59,341.53,27,108000,0.7888410298088065
394.83,145.42,27,108000,0.18812420133842211
334.34,281.88,14,95000,0.18103681561063445
106.03,343.93,7,88000,0.576566763592738
155.66,827.24,20,101000,0.36111072333703664
509.68,716.15,29,110000,0.9448811320728253
909.0,2.66,9,90000,0.6044666696876234
212.94,94.45,15,96000,0.6410008258563924
454.79,761.8,12,93000,0.8458467790577419
800.41,308.23,4,85000,0.5499777107073708
281.65,597.81,10,91000,0.4572711967330757
31.84,893.91,9,90000,0.12190135549821979
842.87,764.32,5,86000,0.5809474682891573
958.35,576.75,20,101000,0.9874566878866188
897.43,983.02,15,96000,0.861929638635903
817.39,792.25,4,85000,3.707336603292477E-4
32.9,429.37,19,100000,0.6839171468517569
145.38,820.14,18,99000,0.7410409598172143
141.65,734.29,28,109000,0.7975979890934326
407.96,941.46,21,102000,0.24443150906416622
998.41,717.11,2,83000,0.46721162154305806
588.83,396.73,26,107000,0.37728496615355855
243.92,574.03,16,97000,0.38601082821234445
601.28,823.34,7,88000,0.4248625157395215
18.22,286.25,24,105000,0.8291400965140342
90.56,280.34,22,103000,0.9864617622245793
206.74,83.21,24,105000,0.04284736193229455
180.6,930.98,2,83000,0.7931561318035318
763.26,898.97,14,95000,0.19725803429864586
985.19,946.7,5,86000,0.01246608509041669
856.23,893.64,11,92000,0.35714090309291746
251.46,220.27,15,96000,0.5955527532311332
648.14,276.5,1,82000,0.6177878764422472
332.9,31.76,18,99000,0.24617825742659516
362.66,864.18,13,94000,0.5935380555900731
799.17,897.92,20,101000,0.28089791459327806
920.03,34.38,2,83000,0.882455087584019
381.74,453.47,17,98000,0.5311474916823213
828.41,994.74,30,111000,0.525689593619657

